chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\OverlayChangeListener.java, OverlayChangeListener, 12, 10, 0.8333333333333334, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\PlotChangeEvent.java, PlotChangeEvent, 26, 18, 0.6923076923076923, 1, 0.6923076923076923
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\PlotChangeListener.java, PlotChangeListener, 12, 10, 0.8333333333333334, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\RendererChangeEvent.java, RendererChangeEvent, 54, 38, 0.7037037037037037, 1, 0.7037037037037037
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\RendererChangeListener.java, RendererChangeListener, 11, 9, 0.8181818181818182, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\TitleChangeEvent.java, TitleChangeEvent, 23, 15, 0.6521739130434783, 1, 0.6521739130434783
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\event\TitleChangeListener.java, TitleChangeListener, 12, 10, 0.8333333333333334, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\HashUtils.java, HashUtils, 275, 155, 0.5636363636363636, 2, 0.2818181818181818
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\imagemap\ImageMapUtils.java, ImageMapUtils, 198, 84, 0.42424242424242425, 4, 0.10606060606060606
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\imagemap\ToolTipTagFragmentGenerator.java, ToolTipTagFragmentGenerator, 20, 18, 0.9, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\imagemap\URLTagFragmentGenerator.java, URLTagFragmentGenerator, 17, 15, 0.8823529411764706, 0, 0.0
C:\Users\Vincent\Documents\IFT3913\TP1\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\JFreeChart.java, ), 3, 0, 0.0, 0, 0.0
